# Rashenal Tasks Export - Generated: 2025-08-03T18:01:44.344Z - Count: 10,,,,,,,,
id,title,description,status,priority,category,due_date,created_at,updated_at
21a9679a-672e-4470-8b99-f33585cf65fc,test,test,backlog,medium,,09/08/2025,2025-07-29T10:23:11.986Z,2025-07-29T18:01:19.672Z
b1fb07e6-ea2e-4a0b-bc76-b5690aabc113,Set Up Vision Board,"Create a visual representation of goals and dreams for 2024 using magazines, photos, and inspirational quotes.",done,medium,Personal Growth,,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
a9ca5815-56d9-42fb-8618-3a519070ae38,Network with Industry Professionals,Attend 2 networking events and connect with 10 new professionals on LinkedIn this month.,blocked,low,Career Development,,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
15a17b30-3e7e-4c87-bed7-abf710250561,"Purchase ""Atomic Habits"" book",Buy physical or digital copy of Atomic Habits by James Clear,done,low,Personal Growth,,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
e574f0ab-733d-42d7-9f25-c4c1ee2e36c1,Read Chapters 1-5 of Atomic Habits,Complete first 5 chapters and take notes on key concepts,in_progress,medium,Personal Growth,,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
675eaac7-9469-4846-b958-67feeb278b79,Complete Q4 Performance Review,"Gather accomplishments, set goals for next quarter, and prepare self-evaluation document for manager review.",backlog,urgent,Career Development,03/08/2025,2025-07-29T07:51:18.772Z,2025-08-02T17:28:01.485Z
04a51add-6e58-484f-9184-e4930ba20a43,Learn New Project Management Tool,Complete online training for the new project management software the company is implementing.,in_progress,high,Professional Development,12/08/2025,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
cc27efae-8aad-468a-aafa-5b9ed92d56f7,Read 2 Personal Development Books,"Complete reading ""Atomic Habits"" by James Clear and ""The 7 Habits of Highly Effective People"" by Stephen Covey.",in_progress,medium,Personal Growth,28/08/2025,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
79c3c09d-b5eb-41c0-9d19-55e9cadae654,Join Gym and Create Workout Schedule,"Research local gyms, sign up for membership, and create a 3x/week workout routine with a personal trainer.",todo,medium,Health & Wellness,08/08/2025,2025-07-29T07:51:18.772Z,2025-07-29T18:02:25.708Z
6c63c2ca-09c6-4c5a-bd5c-3e2780d451e4,Establish Morning Meditation Routine,Create a consistent 15-minute morning meditation practice to start each day with clarity and focus.,blocked,high,Health & Wellness,05/08/2025,2025-07-29T07:51:18.772Z,2025-07-29T18:01:19.672Z
